id,title,artist,score
0AzFuoLpUvehCep7QZNLzj,Enquanto ela não chegar,Barão Vermelho,-0.7048453280462865
2X5AFygz5SDYlXagyPw8kX,Binibini,Zack Tabudlo,-0.7039595779065889
55RMhrPQYA6vLu5YMgXxFD,Binibini,Zack Tabudlo,-0.7039595779065889
5yNfMRJ8byUpEscMcy1ZXb,Descansarei,Comunidade Evangélica de Maringá,-0.7034282462211091
7AOdyU64RafmvJUL4WMotN,Unsteady - Erich Lee Gravity Remix,X Ambassadors;Erich Lee,-0.7032684628542236
4b3qU0YBXYwC3eVPX3mVJI,Eu Vou Crer em Ti,Frei Gilson,-0.7028535523961023
6YGDbl5MJmMSUP33UbGoAo,Unchain My Soul,Dark Funeral,-0.7021393215127754
4OufvzIUm5RUveuvVVytNn,My Northern Heart,Wormwood,-0.7016611032779636
1mK1HDtie9WU6DAw3VAC4r,RiGHT NOW,EMPiRE,-0.7009890338413602
5maqE0Bx0zNFvliGm50VBi,Tyranni,Avslut,-0.7009585452191269
40gvh6jP5qxMJuMmF9lG9A,Baby Came Home 2 / Valentines,The Neighbourhood,-0.700628287488704
40gvh6jP5qxMJuMmF9lG9A,Baby Came Home 2 / Valentines,The Neighbourhood,-0.700628287488704
0P5eb6K1JqpTE2u3qRQSRf,In Perennial Twilight,Warmoon Lord,-0.6997396579252917
13TqvB91x3vY05Ym9OJ9It,Fault,Astronoid,-0.6989307043576329
18lSBq4bUQg32GeQ8gIu1e,Planet Zero,Shinedown,-0.6987788182152832
5jTnpbclNqXTV4trZSjoJE,Planet Zero,Shinedown,-0.6987788182152832
5Z2iVSDPvCScP5M5atIt5v,Planet Zero,Shinedown,-0.6987788182152832
36NQtTNiBpURnyDasqNsCf,Planet Zero,Shinedown,-0.6987788182152832
4bh9zPGpEX1yl9Do6rkhHr,Planet Zero,Shinedown,-0.6987788182152832
6jmbmsPYXhA0HHQ7LSxvyD,Planet Zero,Shinedown,-0.6987788182152832
69BH4DTT22CtpsaHhGswrJ,RiGHT NOW,EMPiRE,-0.6986224110327508
4pRYWucBrSGVwY95PWw4do,Hosanna,Hillsong UNITED;Brooke Ligertwood,-0.6985977693916164
3uv5o7hM6piPkA20ZhWQQ2,Paraíso Que Me Cerca,BK;JXNV$;Mayra Andrade,-0.6985818981443797
0wl6Ojj7euPLNxcxH4v29K,Sodomy & Lust,Cradle Of Filth,-0.6985684270499437
0o5jiETMwpSUN79gsfipEZ,"Satã, Apareça!",Velho,-0.6984447071250122
0iyPj6S5Zd44Ne263V1BTa,Rise of the Predator,Deströyer 666,-0.6978088524361972
1Yxukx85EzhKgZpzbNywQv,Não Existe Amor Em SP - Live,Criolo;Emicida,-0.696782322721056
2hqkibBr8jnh0SJgBSb6rE,Teus Olhos Revelam - Ao Vivo,Jozyanne,-0.6967795649146329
2dyDSWM5tzbssqqN4LyGCV,"Barravenida, Pt. 2",BaianaSystem,-0.696743619534798
1wPH7vYjsq1JEzytPZJfhg,Spoken Words of Venom,Naglfar,-0.6962625321943614
01d8pAucIn2NA37da2uHZK,Legion,Gruzja,-0.695892973945698
40ozK0lCJ0EQzVGWsCNUhk,Way Maker - Live,Leeland,-0.6957705627206209
40ozK0lCJ0EQzVGWsCNUhk,Way Maker - Live,Leeland,-0.6957705627206209
7eJTmuxMLfKtvTX37c2gLL,When Death Calls,Hypocrisy,-0.6952515727881816
5qQYeV15IMHX0dqcgLa1zB,Teu Reino - Acústico,Cristo Vivo,-0.6941401035605117
2WxgpAT3sZQ5xzkAJL1HsC,Rumble,Zayde Wølf,-0.6941395601105254
31zFI9wyuwU8gHxQdcIaBA,Skoll,Istapp,-0.6941319982230347
6gCCanQYC6OTcW2OGRnoeP,"Sana Sana Sana, Cura Cura Cura",Psychonaut 4,-0.6933648191479881
695722v5GPk2Uml2Tgv5ly,Meu Respirar - Ao Vivo,Ministério Vineyard;Nívea Soares,-0.6929040327833256
7asucfVh7xocyQ5b4ay1nR,Quanto Tempo Demora um Mês,Biquini Cavadão,-0.6924582082968922
1t1trD4LtJ2U3n8dzQAoR2,Woman of Dark Desires,Marduk,-0.6923813933259347
3CrsuTJomWZmeXIvKhV45l,Stronger,The Score,-0.6920747804284725
3CrsuTJomWZmeXIvKhV45l,Stronger,The Score,-0.6920747804284725
6SFPnVusCVDmTMGAOcOPZv,Shadows Over Transylvania,Dark Funeral,-0.6911547865763339
5BSa8MzfxhgmQe3pU4hYhI,Father In Heaven,Bestial Mockery,-0.6906302066007797
6FOZMPsV4o3dMj7juFrXMT,Vai Valer a Pena - Ao Vivo,Juliano Son,-0.6901033927859124
3OMd93g8K6Pcj6Je3kEtpe,Ruin,Lamb of God,-0.6900915863043158
3JXsIGWUG94RE2lMhu2OlE,Everything's Alright,conscience,-0.6881014471926329
2wURETE2Z6UwmljCMyEgtY,"Total War, Winter War",Impaled Nazarene,-0.6879978841593584
1JEbu4sbfwNnjetAaaYGmU,The Serpentine Offering,Dimmu Borgir,-0.6878939914312245
3UrnpCBQyiWGCbZvsJsdck,Eu Me Rendo,Renascer Praise,-0.6870480227165998
2UbIZiTmozBrmceDdjqqOY,Scourge of Violence,Aversions Crown,-0.6869229175318047
6uIv3xIpgKduBWy350T5ty,Que Se Abram os Céus - Ao Vivo,Nívea Soares,-0.6860952787859749
6CW9qtzZpHZ3o39BYlpU0x,Living Hope,Bethel Music;Bethany Wohrle,-0.6860945527967526
